"Ghotuo","aaa"
"Alumu-Tesu","aab"
"Ari","aac"
"Amal","aad"
"Albanian, Arbëreshë","aae"
"Aranadan","aaf"
"Ambrak","aag"
"Arapesh, Abu'","aah"
"Arifama-Miniafia","aai"
"Ankave","aak"
"Afade","aal"
"Aramanik","aam"
"Anambé","aan"
"Arabic, Algerian Saharan Spoken","aao"
"Arára, Pará","aap"
"Abenaki, Eastern","aaq"
"Afar","aar"
"Aasáx","aas"
"Albanian, Arvanitika","aat"
"Abau","aau"
"Solong","aaw"
"Mandobo Atas","aax"
"Amarasi","aaz"
"Abé","aba"
"Bankon","abb"
"Ayta, Ambala","abc"
"Manide","abd"
"Abenaki, Western","abe"
"Abai Sungai","abf"
"Abaga","abg"
"Arabic, Tajiki Spoken","abh"
"Abidji","abi"
"Aka-Bea","abj"
"Abkhaz","abk"
"Lampung Nyo","abl"
"Abanyom","abm"
"Abua","abn"
"Abon","abo"
"Ayta, Abellen","abp"
"Abaza","abq"
"Abron","abr"
"Malay, Ambonese","abs"
"Ambulas","abt"
"Abure","abu","true"
"Arabic, Baharna Spoken","abv"
"Pal","abw"
"Inabaknon","abx"
"Aneme Wake","aby"
"Abui","abz"
"Achagua","aca"
"Áncá","acb"
"Gikyode","acd"
"Aceh","ace"
"Saint Lucian Creole French","acf"
"Acholi","ach"
"Aka-Cari","aci"
"Aka-Kora","ack"
"Akar-Bale","acl"
"Arabic, Mesopotamian Spoken","acm","true"
"Achang","acn"
"Acipa, Eastern","acp"
"Arabic, Ta'izzi-Adeni Spoken","acq"
"Achi","acr"
"Acroá","acs"
"Achterhoeks","act"
"Achuar-Shiwiar","acu"
"Achumawi","acv"
"Arabic, Hijazi Spoken","acw"
"Arabic, Omani Spoken","acx"
"Arabic, Cypriot Spoken","acy"
"Acheron","acz"
"Dangme","ada"
"Adabe","adb"
"Dzodinka","add"
"Adele","ade"
"Arabic, Dhofari Spoken","adf"
"Andegerebinha","adg"
"Adhola","adh"
"Adi","adi"
"Adioukrou","adj"
"Adi, Galo","adl"
"Adang","adn"
"Abu","ado"
"Adap","adp"
"Adangbe","adq"
"Adonara","adr"
"Adamorobe Sign Language","ads"
"Adnyamathanha","adt"
"Aduge","adu"
"Amundava","adw"
"Tibetan, Amdo","adx"
"Adyghe","ady"
"Adzera","adz"
"Areba","aea"
"Arabic, Tunisian Spoken","aeb"
"Arabic, Sa'idi Spoken","aec"
"Argentine Sign Language","aed"
"Pashayi, Northeast","aee"
"Haeke","aek"
"Ambele","ael"
"Arem","aem"
"Armenian Sign Language","aen"
"Aer","aeq"
"Arrernte, Eastern","aer"
"Akeu","aeu"
"Ambakich","aew"
"Amele","aey"
"Aeka","aez"
"Arabic, Gulf Spoken","afb"
"Andai","afd"
"Putukwam","afe"
"Afghan Sign Language","afg"
"Akrukay","afi"
"Nanubae","afk"
"Defaka","afn"
"Eloyi","afo"
"Tapei","afp"
"Afrikaans","afr","true"
"Afro-Seminole Creole","afs"
"Afitti","aft"
"Awutu","afu"
"Obokuitai","afz"
"Aguano","aga"
"Legbo","agb"
"Agatu","agc"
"Agarabi","agd"
"Angal","age"
"Arguni","agf"
"Angor","agg"
"Ngelima","agh"
"Agariya","agi"
"Argobba","agj"
"Agta, Isarog","agk"
"Fembe","agl"
"Angaataha","agm"
"Agutaynen","agn","true"
"Tainae","ago"
"Aghem","agq"
"Aguaruna","agr"
"Esimbi","ags"
"Agta, Central Cagayan","agt"
"Awakateko","agu","true"
"Dumagat, Remontado","agv"
"Kahua","agw"
"Aghul","agx"
"Alta, Southern","agy"
"Agta, Mt. Iriga","agz"
"Ahanta","aha"
"Axamb","ahb"
"Qimant","ahg"
"Aghu","ahh"
"Aizi, Tiagbamrin","ahi"
"Akha","ahk"
"Igo","ahl"
"Aizi, Mobumrin","ahm"
"Àhàn","ahn"
"Ahom","aho"
"Aizi, Aproumu","ahp"
"Ahirani","ahr"
"Ashe","ahs"
"Ahtena","aht"
"Arosi","aia"
"Ainu","aib"
"Ainbai","aic"
"Alngith","aid"
"Amara","aie"
"Agi","aif"
"Antigua and Barbuda Creole English","aig"
"Ai-Cham","aih"
"Assyrian Neo-Aramaic","aii"
"Lishanid Noshan","aij"
